german,english
Daten,Data
Hunde,dogs
Großvater,grandfather
wahre,true
nachgedacht,thought about
Falle,trap
eigenes,own
Gang,gear
sahen,saw
erreicht,reached
Willen,will
solchen,such
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,Animals
Sollte,Should
ner,ner
längst,long ago
Autos,Cars
Hätte,Would have
wohnt,lives
krieg,war
fiel,fell
Hose,Pants
leiden,suffer
Hau,Hau
sprichst,speak
freue,am happy
Außer,Except
gebrochen,broken
Baum,Tree
gehalten,held
Träume,Dreams
Reihe,Row
stelle,place
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,Wish
erster,first
Befehle,Commands
Bastard,bastard
rief,shouted
Nachdem,After
Toten,Kill
Frühstück,Breakfast
schaffst,create
ihres,hers
hat's,has it
aufgeben,give up
Gespräch,Conversation
Engel,angel
verbringen,spend
Terroristen,Terrorists
Erfahrung,Experience
brauchte,needed
schätzen,treasure
seien,be
Nehmt,Take
Bad,bathroom
Vogel,Bird
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,track
schläft,sleeps
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,Yours
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,close
Pistole,gun
lächerlich,ridiculous
Filme,Films
